1-14 Jan 2024, Surlari, B-z
Time (Days)             B-z (nT)
1.3694444               43230.9                  
1.3701389               43230.7                  
1.3708333               43230.9                  
1.3715278               43231                    
1.3722222               43230.7                  
1.3729167               43231                    
1.3736111               43231.4                  
1.3743056               43231.5                  
1.375                   43230.8                  
1.3756944               43230.9                  
1.3763889               43230.5                  
1.3770833               43231.1                  
1.3777778               43230.4                  
1.3784722               43230.7                  
1.3791667               43230.5                  
1.3798611               43230.4                  
1.3805556               43230.6                  
1.38125                 43230.6                  
1.3819444               43230.5                  
1.3826389               43230.6                  
1.3833333               43230.4                  
1.3840278               43230.3                  
1.3847222               43230.2                  
1.3854167               43230.4                  
1.3861111               43230.5                  
1.3868056               43230.2                  
1.3875                  43230.6                  
1.3881944               43230.5                  
1.3888889               43230.3                  
1.3895833               43230.5                  
1.3902778               43230                    
1.3909722               43230.1                  
1.3916667               43229.8                  
1.3923611               43230.2                  
1.3930556               43230.4                  
1.39375                 43230                    
1.3944444               43230.2                  
1.3951389               43229.9                  
1.3958333               43229.9                  
1.3965278               43230.2                  
1.3972222               43230                    
1.3979167               43230                    
1.3986111               43229.8                  
1.3993056               43229.9                  
1.4                     43230                    
1.4006944               43229.5                  
1.4013889               43229.4                  
1.4020833               43229.4                  
1.4027778               43228.8                  
1.4034722               43229.5                  
1.4041667               43229                    
1.4048611               43229                    
1.4055556               43228.7                  
1.40625                 43229                    
1.4069444               43229                    
1.4076389               43228.7                  
1.4083333               43228.7                  
1.4090278               43228.8                  
1.4097222               43228.8                  
1.4104167               43228.8                  
1.4111111               43228.5                  
1.4118056               43228.5                  
1.4125                  43228.9                  
1.4131944               43229.1                  
1.4138889               43229                    
1.4145833               43229.1                  
1.4152778               43229.1                  
1.4159722               43228.9                  
1.4166667               43228.6                  
1.4173611               43228.4                  
1.4180556               43228.2                  
1.41875                 43228.5                  
1.4194444               43228.4                  
1.4201389               43228.6                  
1.4208333               43228.5                  
1.4215278               43228.6                  
1.4222222               43228.3                  
1.4229167               43228.5                  
1.4236111               43228.4                  
1.4243056               43228.5                  
1.425                   43228.3                  
1.4256944               43228.2                  
1.4263889               43228.3                  
1.4270833               43228.4                  
1.4277778               43228.4                  
1.4284722               43228.7                  
1.4291667               43228.5                  
1.4298611               43228.6                  
1.4305556               43228.5                  
1.43125                 43228.6                  
1.4319444               43228.8                  
1.4326389               43228.5                  
1.4333333               43228.5                  
1.4340278               43228.4                  
1.4347222               43228.3                  
1.4354167               43228.4                  
1.4361111               43228.3                  
1.4368056               43229.1                  
1.4375                  43229.9                  
1.4381944               43230.3                  
1.4388889               43229.6                  
1.4395833               43228.9                  
1.4402778               43228.6                  
1.4409722               43229.4                  
1.4416667               43229.4                  
1.4423611               43229.2                  
1.4430556               43229.2                  
1.44375                 43229.2                  
1.4444444               43228.8                  
1.4451389               43229.1                  
1.4458333               43229.6                  
1.4465278               43229                    
1.4472222               43229.4                  
1.4479167               43230                    
1.4486111               43230.3                  
1.4493056               43229.9                  
1.45                    43229.9                  
1.4506944               43229.7                  
1.4513889               43229.8                  
1.4520833               43229.7                  
1.4527778               43230                    
1.4534722               43229.8                  
1.4541667               43229.8                  
1.4548611               43230                    
1.4555556               43229.8                  
1.45625                 43229.9                  
1.4569444               43230                    
1.4576389               43230                    
1.4583333               43230                    
1.4590278               43230.2                  
1.4597222               43230.2                  
1.4604167               43230                    
1.4611111               43230                    
1.4618056               43229.7                  
1.4625                  43230.2                  
1.4631944               43230.4                  
1.4638889               43230.7                  
1.4645833               43230.4                  
1.4652778               43230.4                  
1.4659722               43231.6                  
1.4666667               43230.4                  
1.4673611               43230.3                  
1.4680556               43231.1                  
1.46875                 43232.1                  
1.4694444               43233                    
1.4701389               43233.1                  
1.4708333               43232.5                  
1.4715278               43232.4                  
1.4722222               43232.9                  
1.4729167               43233.9                  
1.4736111               43233.6                  
1.4743056               43233.6                  
1.475                   43234                    
1.4756944               43234.4                  
1.4763889               43233.7                  
1.4770833               43232.3                  
1.4777778               43231.3                  
1.4784722               43229.8                  
1.4791667               43230.7                  
1.4798611               43232.5                  
1.4805556               43232.8                  
1.48125                 43232.3                  
1.4819444               43232.6                  
1.4826389               43232.7                  
1.4833333               43233.1                  
1.4840278               43233.2                  
1.4847222               43233.1                  
1.4854167               43232.8                  
1.4861111               43232.4                  
1.4868056               43232.6                  
1.4875                  43232.6                  
1.4881944               43232.4                  
1.4888889               43232.1                  
1.4895833               43232.8                  
1.4902778               43232.6                  
1.4909722               43232.3                  
1.4916667               43232.6                  
1.4923611               43232.5                  
1.4930556               43232.2                  
1.49375                 43232.7                  
1.4944444               43232.8                  
1.4951389               43232.9                  
1.4958333               43232.9                  
1.4965278               43233.3                  
1.4972222               43233.2                  
1.4979167               43233.1                  
1.4986111               43232.7                  
1.4993056               43232.7                  
1.5                     43232.8                  
1.5006944               43232.7                  
1.5013889               43232.5                  
1.5020833               43232.9                  
1.5027778               43233.3                  
1.5034722               43233.9                  
1.5041667               43233.8                  
1.5048611               43233.5                  
1.5055556               43233.8                  
1.50625                 43234.1                  
1.5069444               43234                    
1.5076389               43234.4                  
1.5083333               43234.1                  
1.5090278               43233.4                  
1.5097222               43233.6                  
1.5104167               43233.5                  
1.5111111               43233.5                  
1.5118056               43232.8                  
1.5125                  43232.7                  
1.5131944               43232.7                  
1.5138889               43232.7                  
1.5145833               43233.1                  
1.5152778               43232.7                  
1.5159722               43232.5                  
1.5166667               43232.4                  
1.5173611               43232.7                  
1.5180556               43233.1                  
1.51875                 43233                    
1.5194444               43232.6                  
1.5201389               43233.2                  
1.5208333               43233.1                  
1.5215278               43234                    
1.5222222               43233.4                  
1.5229167               43233.5                  
1.5236111               43233.6                  
1.5243056               43233.7                  
1.525                   43234.1                  
1.5256944               43234                    
1.5263889               43233.9                  
1.5270833               43234.1                  
1.5277778               43233.8                  
1.5284722               43234.4                  
1.5291667               43233.9                  
1.5298611               43233.9                  
1.5305556               43233.9                  
1.53125                 43234                    
1.5319444               43234.4                  
1.5326389               43234.3                  
1.5333333               43234.3                  
1.5340278               43234.2                  
1.5347222               43234.3                  
1.5354167               43234.1                  
1.5361111               43234                    
1.5368056               43234.2                  
1.5375                  43234.2                  
1.5381944               43234.3                  
1.5388889               43234.7                  
1.5395833               43234.3                  
1.5402778               43234.5                  
1.5409722               43234.4                  
1.5416667               43234.4                  
1.5423611               43234.3                  
1.5430556               43234.6                  
1.54375                 43234.6                  
1.5444444               43234.5                  
1.5451389               43234.7                  
1.5458333               43235                    
1.5465278               43234.9                  
1.5472222               43235                    
1.5479167               43235                    
1.5486111               43234.8                  
1.5493056               43235.1                  
1.55                    43235                    
1.5506944               43235.1                  
1.5513889               43234.9                  
1.5520833               43235                    
1.5527778               43235.1                  
1.5534722               43234.9                  
1.5541667               43234.8                  
1.5548611               43235.1                  
1.5555556               43235.2                  
1.55625                 43235.5                  
1.5569444               43235.7                  
1.5576389               43235.8                  
1.5583333               43235.6                  
1.5590278               43235.9                  
1.5597222               43236                    
1.5604167               43235.9                  
1.5611111               43235.9                  
1.5618056               43235.4                  
1.5625                  43235.5                  
1.5631944               43235.5                  
1.5638889               43235.4                  
1.5645833               43235.4                  
1.5652778               43235.2                  
1.5659722               43235.5                  
1.5666667               43235.5                  
1.5673611               43235.2                  
1.5680556               43235.4                  
1.56875                 43235.2                  
1.5694444               43235                    
1.5701389               43235                    
1.5708333               43235.1                  
1.5715278               43235.1                  
1.5722222               43235.2                  
1.5729167               43235.3                  
1.5736111               43235.3                  
1.5743056               43234.8                  
1.575                   43235.2                  
1.5756944               43234.6                  
1.5763889               43234.7                  
1.5770833               43235                    
1.5777778               43234.5                  
1.5784722               43234.9                  
1.5791667               43234.6                  
1.5798611               43234.7                  
1.5805556               43234.5                  
1.58125                 43234.4                  
1.5819444               43234.2                  
1.5826389               43234.4                  
1.5833333               43234.2                  
1.5840278               43234.3                  
1.5847222               43234.1                  
1.5854167               43234.4                  
1.5861111               43234.2                  
1.5868056               43234.6                  
1.5875                  43234.7                  
1.5881944               43234.6                  
1.5888889               43234.6                  
1.5895833               43234.5                  
1.5902778               43234.1                  
1.5909722               43234.2                  
1.5916667               43234.1                  
1.5923611               43234.1                  
1.5930556               43234.1                  
1.59375                 43234.2                  
1.5944444               43234.7                  
1.5951389               43234.4                  
1.5958333               43234.4                  
1.5965278               43234.7                  
1.5972222               43234.7                  
1.5979167               43234.7                  
1.5986111               43234.8                  
1.5993056               43234.4                  
1.6                     43234.7                  
1.6006944               43234.5                  
1.6013889               43234.9                  
1.6020833               43234.5                  
1.6027778               43234.9                  
1.6034722               43234.7                  
1.6041667               43234.6                  
1.6048611               43235                    
1.6055556               43234.6                  
1.60625                 43234.8                  
1.6069444               43234.7                  
1.6076389               43234.9                  
1.6083333               43234.7                  
1.6090278               43234.9                  
1.6097222               43234.8                  
1.6104167               43234.7                  
1.6111111               43234.6                  
1.6118056               43234.9                  
1.6125                  43235.1                  
1.6131944               43234.6                  
1.6138889               43234.6                  
1.6145833               43234.6                  
1.6152778               43234.6                  
1.6159722               43234.8                  
1.6166667               43234.6                  
1.6173611               43234.4                  
1.6180556               43234.2                  
1.61875                 43234.2                  
1.6194444               43234.4                  
1.6201389               43234                    
1.6208333               43234.3                  
1.6215278               43234.7                  
1.6222222               43234.8                  
1.6229167               43234.5                  
1.6236111               43234.6                  
1.6243056               43234.4                  
